0,1,2,3,4,5
Land and buildings,,39865.0,,,49732.0
Information technology assets,36840.0,,,45906.0,
Construction in progress,21036.0,,,23111.0,
Leasehold improvements,6310.0,,,7516.0,
Furniture and fixtures,156.0,,,197.0,
Property and equipment gross,104207.0,,,126462.0,
Less: accumulated depreciation,30561.0,,,41713.0,
Property and equipment net,,73646.0,,,84749.0
