0
asic net income per share:
Numerator
Allocation of undistributed earnings  21213  3137  21998  24851  3682  24575
Denominator
Number of shares used in per share computation 6004 888 6226 5932 879 5866
asic net income per share  3.53  3.53  3.53  4.19  4.19  4.19
Diluted net income per share:
Numerator
"Allocation of undistributed earnings for basic
computation  21213  3137  21998  24851  3682  24575"
"Reallocation of undistributed earnings as a result of
conversion of Class  to Class A shares 3137 0 0 3682 0 0"
Reallocation of undistributed earnings 204 26 204 187 24 187
Allocation of undistributed earnings  24146  3111  22202  28346  3658  24762
Denominator
Number of shares used in basic computation 6004 888 6226 5932 879 5866
Weighted-average effect of dilutive securities
Add:
Conversion of Class  to Class A shares outstanding 888 0 0 879 0 0
"Restricted stock units and other contingently
issuable shares 0 0 111 0 0 84"
Number of shares used in per share computation 6892 888 6337 6811 879 5950
Diluted net income per share  3.50  3.50  3.50  4.16  4.16  4.16
