0
Land and buildings  66897  74083
Information technology assets 66267 80594
Construction in progress 27657 35229
Leasehold improvements 10575 11425
Furniture and fixtures 314 472
Property and equipment gross 171710 201803
Less: accumulated depreciation 59042 67458
Property and equipment net  112668  134345
