0,1,2,3,4,5,6
,The following table presents our revenues disaggregated by type in millions.,,,,,
,,,Year Ended December 31,,,
,,2018.0,,2019.0,,2020.0
Google Search & other,,85296.0,,98115.0,,104062.0
YouTube ads,,11155.0,,15149.0,,19772.0
Google Network Members' properties,,20010.0,,21547.0,,23090.0
Google advertising,,116461.0,,134811.0,,146924.0
Google other,,14063.0,,17014.0,,21711.0
Google Services total,,130524.0,,151825.0,,168635.0
Google Cloud,,5838.0,,8918.0,,13059.0
Other ets,,595.0,,659.0,,657.0
Hedging gains losses,,138.0,,455.0,,176.0
Total revenues,,136819.0,,161857.0,,182527.0
