0,1,2,3,4
,,,2023.0,
"Realized net gain loss on equity securities sold during
the period",42.0, 41  348,,216.0
Unrealized net gain loss on marketable equity securities 224 318 136 96,,,,
"Unrealized net gain loss on non-marketable equity
securities1 184 1462 678 3038",,,,
"Total gain loss on equity securities in other income
expense net  366  1821  194  3350",,,,
