0,1,2,3,4,5,6,7
,Year Ended December 31 2021,,,,,,
,Shares,,Amount,,Shares,,Amount
Class A share repurchases 24  3399,,,,,61,, 6719
Class C share repurchases 383,,,46875,,469,,52577
Total share repurchases,407,, 50274,,530,, 59296
