0
Debt
2014-2020 Notes Issuances 2024 - 2060 0.45 - 3.38 0.57 - 3.38  13000  13000
"Future finance lease payments net
and other 1 2086 2213"
Total debt 15086 15213
"Unamortized discount and debt
issuance costs 156 146"
"Less: Current portion future finance
lease payments net and other
current debt12 113 414"
Total long-term debt  14817  14653
