0,1,2,3,4,5,6
,,,Year Ended December 31,,,
,,2020.0,,2021.0,,2022.0
Interest income,,1865.0,,1499.0,,2174.0
Interest expense1,,135.0,,346.0,,357.0
Foreign currency exchange gain loss net,,344.0,,240.0,,654.0
Gain loss on debt securities net,,725.0,,110.0,,2064.0
Gain loss on equity securities net,,5592.0,,12380.0,,3455.0
Performance fees,,609.0,,1908.0,,798.0
Income loss and impairment from equity method investments net,,401.0,,334.0,,337.0
Other,,637.0,,411.0,,381.0
Other income expense net,,6858.0,,12020.0,,3514.0
