0,1,2,3,4,5
Unrealized gain loss on fair value option debt securities,86.0,, 262,35.0,193.0
Gross realized gain on debt securities 8 196 93 426,,,,,
Gross realized loss on debt securities,402.0,,316 1197 1252,,
Increase decrease in allowance for credit losses 23 18 31 21,,,,,
"Total gain loss on debt securities recognized in other
income expense net",503.0,160.0,,1100.0,612.0
