0,1,2,3,4,5
,"Marketable Non-Marketable
Securities Securities Total",,,,
Total initial cost, 4211  15135  19346,,,,
Cumulative net gain loss1,3587 12436 16023,,,,
Carrying value2, 7798,,27571.0,,35369.0
