0,1,2,3,4,5,6
Year ended December 31 2021  1344  2092  2047  1389,,,,,,
Year ended December 31 2022  1389  2125,,,,2301.0,,1213.0
Year ended December 31 2023,1213.0, 3115  2737  1591,,,,
