0,1,2,3,4
,The gross notional amounts of our outstanding derivative instruments were as follows in millions:,,,
,,As of December 31,,As of December 31
,,2019,,2020
Derivatives Designated as Hedging Instruments:,,,,
Foreign exchange contracts,,,,
Cash flow hedges,,13207,,10187
Fair value hedges,,455,,1569
Net investment hedges,,9318,,9965
Derivatives Not Designated as Hedging Instruments:,,,,
Foreign exchange contracts,,43497,,39861
Other contracts,,117,,2399
