0,1,2,3,4,5,6
,"Non- Non-
Marketable Marketable Marketable Marketable
Equity Equity Equity Equity
Securities Securities Total Securities Securities Total",,,,,
Total initial cost, 5418  17616  23034  5021  19770  24791,,,,,
Cumulative net gain loss1,555 11150 11705 456 13894 14350,,,,,
Carrying value, 5973,,28766.0,,34739.0, 5477  33664  39141
