0,1,2,3,4,5,6,7
,,On March 20 2019 the EC announced its decision that certain contractual provisions in agreements that,,,,,
Google had with AdSense for Search partners infringed European competition law. The EC decision imposed a fine,,,,,,,
of,€1.5 billion,,,1.7 billion,,as of March 20 2019 and directed actions related to AdSense for Search partners',
agreements which we implemented prior to the decision. On June 4 2019 we appealed the EC decision. We,,,,,,,
recognized a charge of,,,,,1.7 billion,,for the fine in the first quarter of 2019.
