0,1,2,3,4,5
European Commission fines1,,9405.0,,,10409.0
Accrued customer liabilities,2245.0,,,3118.0,
Accrued purchases of property and equipment,2411.0,,,2197.0,
Current operating lease liabilities,1199.0,,,1694.0,
Other accrued expenses and current liabilities,7807.0,,,11213.0,
Accrued expenses and other current liabilities,,23067.0,,,28631.0
