0,1,2,3,4
2,,,,
Includes 706 million of acquired cash.,,,,
Intangible assets acquired as of the acquisition date were as follows:,,,,
,,,,Weighted-Average
,,Amount,,Useful Life
,,in millions,,in years
Patents and developed technology,,,349.0,4.8
Customer relationships,,,366.0,8.0
Trade names and other,,,125.0,5.9
Total intangible assets,,,840.0,
