0
Interest income  2174  3865  4482
Interest expense1 357 308 268
Foreign currency exchange gain loss net 654 1238 409
Gain loss on debt securities net 2064 1215 1043
Gain loss on equity securities net 3455 392 3714
Performance fees 798 257 218
Income loss and impairment from equity method investments net 337 628 188
Other 381 299 919
Other income expense net  3514  1424  7425
