0,1,2,3,4,5
,,,,,
Shares Amount Shares Amount,,,,,
Class A share repurchases 14,,1805.0,,51.0,5724.0
Class C share repurchases,108.0,14113.0,,359.0,40432.0
Total share repurchases1,122.0,15918.0,,410.0,46156.0
