0,1,2,3,4,5
Google Search & other,,98115.0,,,104062.0
YouTube ads,15149.0,,,19772.0,
Google Network Members' properties,21547.0,,,23090.0,
Google advertising,134811.0,,,146924.0,
Google other,17014.0,,,21711.0,
Google Services total,151825.0,,,168635.0,
Google Cloud,8918.0,,,13059.0,
Other ets,659.0,,,657.0,
Hedging gains losses,455.0,,,176.0,
Total revenues,,161857.0,,,182527.0
