0,1,2,3,4,5,6,7,8,9,10,11,12
Offsetting of Liabilities,,,,,,,,,,,,
,,,,,As of December 31 2019,,,,,,,
,,,,,,Gross Amounts Not Offset in the Consolidated,,,,,,
,,,,,,alance Sheets but Have Legal Rights to Offset,,,,,,
,,Gross,Gross Amounts,Net Presented,,,,,,,,
,,Amounts of,Offset in the,in the,,,,Cash,,Non-Cash,,
,,Recognized,Consolidated,Consolidated,,Financial,,Collateral,,Collateral,,
,,Liabilities,alance Sheets,alance Sheets,,Instruments,,Pledged,,Pledged,,Net Liabilities
,,,,,,2,,,,,,
Derivatives,,403,"
21","
382",,88,,0,,0,,294
,,,,,As of December 31 2020,,,,,,,
,,,,,,Gross Amounts Not Offset in the Consolidated alance,,,,,,
,,,,,,,Sheets but Have Legal Rights to Offset,,,,,
,,Gross,Gross Amounts,Net Presented,,,,,,,,
,,Amounts of,Offset in the,in the,,,,Cash,,Non-Cash,,
,,Recognized,Consolidated,Consolidated,,Financial,,Collateral,,Collateral,,
,,Liabilities,alance Sheets,alance Sheets,,Instruments,,Pledged,,Pledged,,Net Liabilities
,,,,,,2,,,,,,
Derivatives,,1554,"
32","
1522",,295,,1,,943,,283
2,,,,,,,,,,,,
,The balances as of December 31 2019 and 2020 were related to derivative assets which are allowed to be net settled against,,,,,,,,,,,
