0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
United States,,74843.0,,46,,,,85014.0,,47,,,,117854.0,,46,
EMEA1,50645.0,,,31,,,55370.0,,,30,,,79107.0,,,31,
APAC1,26928.0,,,17,,,32550.0,,,18,,,46123.0,,,18,
Other Americas1,8986.0,,,6,,,9417.0,,,5,,,14404.0,,,5,
Hedging gains losses,455.0,,,0,,,176.0,,,0,,,149.0,,,0,
Total revenues,,161857.0,,100,,,,182527.0,,100,,,,257637.0,,100,
