0,1,2,3,4,5,6
,The following table presents revenues disaggregated by type in millions:,,,,,
,,,Year Ended December 31,,,
,,2019.0,,2020.0,,2021.0
Google Search & other,,98115.0,,104062.0,,148951.0
YouTube ads,,15149.0,,19772.0,,28845.0
Google Network,,21547.0,,23090.0,,31701.0
Google advertising,,134811.0,,146924.0,,209497.0
Google other,,17014.0,,21711.0,,28032.0
Google Services total,,151825.0,,168635.0,,237529.0
Google Cloud,,8918.0,,13059.0,,19206.0
Other ets,,659.0,,657.0,,753.0
Hedging gains losses,,455.0,,176.0,,149.0
Total revenues,,161857.0,,182527.0,,257637.0
