0
United States  29824 46   33372 48   83064 46   97832 47 
EMEA1 19839 30 19450 28 55954 31 60300 29
APAC1 11705 18 11494 17 33391 18 35045 17
Other Americas1 3688 6 4138 6 9957 5 12320 6
Hedging gains losses 62 0 638 1 54 0 1291 1
Total revenues  65118 100   69092 100   182312 100   206788 100 
