0,1,2,3,4
,,As of December 31,,As of September
,,2022,,30 2023
Derivatives designated as hedging instruments:,,,,
Foreign exchange contracts,,,,
Cash flow hedges,,15972,,17225
Fair value hedges,,2117,,1384
Net investment hedges,,8751,,9547
Derivatives not designated as hedging instruments:,,,,
Foreign exchange contracts,,34979,,36585
Other contracts,,7932,,11572
