0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Government bonds,,32843.0,,,236.0,,,71.0,,,2.0,,,32914.0,,,238.0
Corporate debt securities,22737.0,,,152.0,,,303.0,,,5.0,,,23040.0,,,157.0,
"Mortgage-backed and asset-
backed securities",11502.0,,,106.0,,,248.0,,,6.0,,,11750.0,,,112.0,
Total,,67082.0,,,494.0,,,622.0,,,13.0,,,67704.0,,,507.0
