0,1,2
,,As of December 31
Maturity Coupon Rate,"Effective
Interest Rate",2021 2022
Debt,,
2014-2020 Notes issuances 2024 - 2060 0.45 - 3.38 0.57 - 3.38  13000  13000,,
"Future finance lease payments net and
other 1 2086 2142",,
Total debt 15086 15142,,
"Unamortized discount and debt
issuance costs 156 143",,
"Less: current portion of future finance
lease payments net and other current
debt12 113 298",,
Total long-term debt  14817  14701,,
