0
Interest income  387  615  1121  1515
Interest expense1 77 101 229 267
Foreign currency exchange gain loss net 139 136 77 469
Gain loss on debt securities net 37 731 62 1888
Gain loss on equity securities net 2121 647 9730 1968
Performance fees 492 54 1680 605
"Income loss and impairment from equity method
investments net 188 99 285 306"
Other 8 143 291 277
Other income expense net  2033  902  9503  2501
