0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
asic net income per share:,,,,,,,,,,,,,,,,
Numerator,,,,,,,,,,,,,,,,
Allocation of distributed,,,,,,,,,,,,,,,,
earnings cash,,,,,,,,,,,,,,,,
dividends paid,,0.0,,0.0,,0.0,,0.0,,1170.0,,173.0,,1112.0,,2455.0
Allocation of,,,,,,,,,,,,,,,,
undistributed earnings,,9271.0,,1369.0,,9049.0,,19689.0,,11351.0,,1678.0,,10817.0,,23846.0
Net income,,9271.0,,1369.0,,9049.0,,19689.0,,12521.0,,1851.0,,11929.0,,26301.0
Denominator,,,,,,,,,,,,,,,,
Number of shares used,,,,,,,,,,,,,,,,
in per share,,,,,,,,,,,,,,,,
computation,,5924.0,,875.0,,5782.0,,12581.0,,5850.0,,865.0,,5575.0,,12290.0
asic net income per share,,1.56,,1.56,,1.56,,1.56,,2.14,,2.14,,2.14,,2.14
Diluted net income per,,,,,,,,,,,,,,,,
