0
United States  33372  36354  0  36354 9  0  9 
EMEA 19450 22661 803 21858 17  5  12 
APAC 11494 13126 270 13396 14  3  17 
Other Americas 4138 4553 106 4659 10  3  13 
"Revenues excluding hedging
effect 68454 76694 427 76267 12  1  11 "
Hedging gains losses 638 1
Total revenues1  69092  76693  76267 11  1  1  11 
