0,1,2,3,4,5
Unrealized gain loss on fair value option debt securities  122,,,557.0,,386.0
Gross realized gain on debt securities 432 103 182,,,,,
Gross realized loss on debt securities 329,,,1588.0,,1833.0
Increase decrease in allowance for credit losses 91 22 50,,,,,
"Total gain loss on debt securities recognized in other income
expense net",110.0,,2064.0,1215.0,
