0
Interest income  3865  4482
Interest expense 308 268
Foreign currency exchange gain loss net 1238 409
Gain loss on debt securities net 1215 1043
Gain loss on equity securities net 392 3714
Performance fees 257 218
Income loss and impairment from equity method investments net 628 188
Other 299 919
Other income expense net  1424  7425
