0,1,2,3,4,5,6,7
millions:,,,,,,,
,,,,Year Ended December 31,,,
,,2019.0,,2020,,2021.0,
United States,,74843.0,46.0,85014,47.0,117854.0,46.0
1,,,,,,,
EMEA,,50645.0,31.0,55370,30.0,79107.0,31.0
1,,,,,,,
APAC,,26928.0,17.0,32550,18.0,46123.0,18.0
1,,,,,,,
Other Americas,,8986.0,6.0,9417,5.0,14404.0,5.0
Hedging gains losses,,455.0,0.0,176,0.0,149.0,0.0
Total revenues,,161857.0,100.0,182527,100.0,257637.0,100.0
