0,1,2,3,4,5,6,7,8,9,10,11,12
Effect of cash flow hedges:,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,
Amount reclassified from AOCI to income,,2046.0,,0.0,,213.0,,0.0,,174.0,,0.0
Amount excluded from the assessment of,,,,,,,,,,,,
effectiveness amortized,,85.0,,0.0,,24.0,,0.0,,37.0,,0.0
Effect of fair value hedges:,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,
Hedged items,,0.0,,162.0,,0.0,,59.0,,0.0,,59.0
Derivatives designated as hedging,,,,,,,,,,,,
instruments,,0.0,,163.0,,0.0,,59.0,,0.0,,58.0
Amount excluded from the assessment of,,,,,,,,,,,,
effectiveness,,0.0,,16.0,,0.0,,15.0,,0.0,,13.0
Effect of net investment hedges:,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,
Amount excluded from the assessment of,,,,,,,,,,,,
effectiveness,,0.0,,171.0,,0.0,,187.0,,0.0,,137.0
Effect of non designated hedges:,,,,,,,,,,,,
