0,1,2,3,4,5,6,7,8,9,10,11
,,,,Additions,,,Usage,,,"alance at
End of Year",
Year ended December 31 2019,,729.0,,,1481.0,,,1457.0,,,753.0
Year ended December 31 2020,,753.0,,,2013.0,,,1422.0,,,1344.0
Year ended December 31 2021,,1344.0,,,2092.0,,,2047.0,,,1389.0
