0,1,2,3,4
The following is a schedule by years of maturities of lease liabilities as of March 31 2020 in millions:,,,,
,,Operating Leases,,Finance Leases
The remainder of 2020,,795,,45
2021,,1281,,49
2022,,1198,,38
2023,,1137,,36
2024,,1061,,36
Thereafter,,7657,,386
Total undiscounted cash flows,,13129,,590
Less: Imputed interest,,2785,,120
Present value of lease liabilities,,10344,,470
Lease liabilities current,,835,,44
Lease liabilities non-current,,9509,,426
Present value of lease liabilities,,10344,,470
