0,1,2,3,4,5
United States  134814,48,146286,47,170447,49
EMEA1 82062,29,91038,30,102127,29
APAC1 47024,16,51514,17,56815,16
Other Americas1 16976,6,18320,6,20418,6
Hedging gains losses 1960,1,236,0,211,0
Total revenues  282836,100,307394,100,350018,100
