0,1
,"As of
September 30 2022"
European Commission fines1  9799  8264,
Accrued customer liabilities 3505 2943,
Accrued purchases of property and equipment 2415 3255,
Current operating lease liabilities 2189 2285,
Other accrued expenses and current liabilities 13328 18291,
Accrued expenses and other current liabilities  31236  35038,
