0,1,2,3
Derivatives in Cash Flow Hedging Relationship:,,,
Foreign exchange contracts,,,
Amount included in the assessment of effectiveness  336  1486  438  2752,,,
Amount excluded from the assessment of effectiveness 18 77 63 131,,,
Derivatives in Net Investment Hedging Relationship:,,,
Foreign exchange contracts,,,
Amount included in the assessment of effectiveness 212 760 411 1418,,,
Total  566,2169.0,912.0,4039.0
