0
European Commission fines1  9525  6851
Accrued purchases of property and equipment 4679 5548
Accrued customer liabilities 4140 3872
Current operating lease liabilities 2791 2971
Income taxes payable net 2748 2639
Other accrued expenses and current liabilities 22285 24704
Accrued expenses and other current liabilities  46168  46585
