0
Government bonds  21039  1004  13438  1041  34477  2045
Corporate debt securities 11228 440 15125 1052 26353 1492
"Mortgage-backed and asset-backed
securities 7725 585 6964 657 14689 1242"
Total  39992  2029  35527  2750  75519  4779
