0,1,2,3,4,5,6,7
and percentages:,,,,,,,
,,Year Ended December 31,,,,,
,,2021,,2022.0,, Change, Change
Consolidated revenues,,257637,,282836.0,,25199,10 
Change in consolidated constant currency revenues1,,,,,,,14 
Cost of revenues,,110939,,126203.0,,15264,14 
Operating expenses,,67984,,81791.0,,13807,20 
Operating income,,78714,,74842.0,,3872,5 
Operating margin,,31 ,,26.0,,,5 
Other income expense net,,12020,,3514.0,,15534,129 
Net income,,76033,,59972.0,,16061,21 
Diluted EPS,,5.61,,4.56,,1.05,19 
1,"See ""Use of Non-GAAP Constant Currency Measures"" below for details relating to our use of constant currency information.",,,,,,
