0
Google Search & other  162450  175033  198084
YouTube ads 29243 31510 36147
Google Network 32780 31312 30359
Google advertising 224473 237855 264590
Google subscriptions platforms and devices 29055 34688 40340
Google Services total 253528 272543 304930
Google Cloud 26280 33088 43229
Other ets 1068 1527 1648
Hedging gains losses 1960 236 211
Total revenues  282836  307394  350018
