0,1,2,3,4,5,6
,"Marketable Equity
Securities",,"Non-Marketable
Equity Securities",,Total,
Total initial cost,,1935.0,,8297.0,,10232.0
Cumulative net gain loss1,1361,,3056,,4417,
Carrying value,,3296.0,,11353.0,,14649.0
