0
Revenues:
Google Services  168635  237529  253528
Google Cloud 13059 19206 26280
Other ets 657 753 1068
Hedging gains losses 176 149 1960
Total revenues  182527  257637  282836
Operating income loss:
Google Services  54606  91855  86572
Google Cloud 5607 3099 2968
Other ets 4476 5281 6083
Corporate costs unallocated 3299 4761 2679
Total income from operations  41224  78714  74842
