0
United States  104291  123072  0  123072 18  0  18 
EMEA 66028 73943 309 74252 12  0  12 
APAC 37535 41659 1319 42978 11  4  15 
Other Americas 13144 14684 1043 15727 12  8  20 
"Revenues excluding hedging
effect 220998 253358 2671 256029 15  1  16 "
Hedging gains losses 86 191
Total revenues1  221084  253549  256029 15  0  1  16 
