0,1,2
Performance Goals,"Alphabet’s Percentile Rank Relative
to Peer Companies","Percentage of Target Award
Earned
straight-line interpolation between
Threshold and Target; and Target
and Maximum"
Minimum,elow 25th percentile,0
Threshold,At 25th percentile,50
Target,At 50th percentile,100
Maximum,At or above 75th percentile,200
