0
alance as of June 30 2023 12629  72248  5991  200884  267141
Stock issued 34 0 0 0 0
Stock-based compensation expense 0 5777 0 0 5777
"Tax withholding related to vesting of
restricted stock units and other 0 2442 0 0 2442"
Repurchases of stock 122 992 0 14926 15918
Net income 0 0 0 19689 19689
Other comprehensive income loss 0 0 1045 0 1045
alance as of September 30 2023 12541  74591  7036  205647  273202
