0,1,2,3,4,5
United States  85014,47,117854,46,134814,48
EMEA1 55370,30,79107,31,82062,29
APAC1 32550,18,46123,18,47024,16
Other Americas1 9417,5,14404,5,16976,6
Hedging gains losses 176,0,149,0,1960,1
Total revenues  182527,100,257637,100,282836,100
