0,1,2,3,4,5,6,7
Effect of cash flow hedges:,,,,,,,
Foreign exchange contracts,,,,,,,
Amount reclassified from AOCI to income,,658.0,,0.0,,15.0,0.0
Amount excluded from the assessment of,,,,,,,
effectiveness amortized,,20.0,,0.0,,14.0,0.0
Effect of fair value hedges:,,,,,,,
Foreign exchange contracts,,,,,,,
Hedged items,,0.0,,226.0,,0.0,48.0
Derivatives designated as hedging instruments,,0.0,,226.0,,0.0,48.0
Amount excluded from the assessment of,,,,,,,
effectiveness,,0.0,,6.0,,0.0,2.0
Effect of net investment hedges:,,,,,,,
Foreign exchange contracts,,,,,,,
Amount excluded from the assessment of,,,,,,,
effectiveness,,0.0,,59.0,,0.0,13.0
Effect of non designated hedges:,,,,,,,
