0
"Total amounts in the Consolidated Statements of
Income  182527  6858  257637  12020  282836  3514"
""
Effect of cash flow hedges:
Foreign exchange contracts
Amount reclassified from AOCI to income  144  0  165  0  2046  0
"Amount excluded from the assessment of
effectiveness amortized 33 0 16 0 85 0"
Effect of fair value hedges:
Foreign exchange contracts
Hedged items 0 18 0 95 0 162
"Derivatives designated as hedging
instruments 0 18 0 95 0 163"
"Amount excluded from the assessment of
effectiveness 0 4 0 8 0 16"
Effect of net investment hedges:
Foreign exchange contracts
"Amount excluded from the assessment of
effectiveness 0 151 0 82 0 171"
Effect of non designated hedges:
Foreign exchange contracts 0 718 0 860 0 395
Other contracts 0 906 0 101 0 144
Total gains losses  177  33  149  669  1961  63
