0
Interest income  2174  3865
Interest expense 357 308
Foreign currency exchange gain loss net 654 1238
Gain loss on debt securities net 2064 1215
Gain loss on equity securities net 3455 392
Performance fees 798 257
Income loss and impairment from equity method investments net 337 628
Other 381 299
Other income expense net  3514  1424
