0,1,2,3,4,5,6,7,8
"Patents and developed
technology",1164.0,,354.0,,810.0,1152.0,453.0,699.0
Customer relationships 862 235 627 868 335,,,,,,,,533.0
Trade names and other,527.0,,120.0,,407.0,528.0,161.0,367.0
"Total definite-lived intangible
assets 2553 709 1844 2548 949 1599",,,,,,,,
"Indefinite-lived intangible
assets",240.0,,0.0,,240.0,234.0,0.0,234.0
Total intangible assets  2793  709  2084  2782  949  1833,,,,,,,,
