0,1,2,3,4,5,6,7,8
Government bonds,11119.0,,126.0,,2576.0,,88.0, 13695  214
Corporate debt securities 4228 17 6838 168 11066 185,,,,,,,,
"Mortgage-backed and asset-backed
securities",5222.0,,106.0,,3813.0,,279.0,9035 385
Total  20569  249  13227  535  33796  784,,,,,,,,
