0,1,2,3,4,5,6,7
millions:,,,,,,,
,,,,Year Ended December 31,,,
,,2020.0,,2021,,2022,
United States,,85014.0,,47    117854,,46    134814,48.0
EMEA1,,55370.0,30,79107,31,82062,29.0
APAC1,,32550.0,18,46123,18,47024,16.0
Other Americas1,,9417.0,5,14404,5,16976,6.0
Hedging gains losses,,176.0,0,149,0,1960,1.0
Total revenues,,182527.0,100    257637,,100    282836,,100.0
1,,,,,,,
