0,1,2,3,4,5,6,7,8,9
Derivatives in Cash Flow Hedging Relationship:,,,,,,,,,
Foreign exchange contracts,,,,,,,,,
Amount included in the assessment of effectiveness,,,332.0,,,38.0,,,102.0
"Amount excluded from the assessment of
effectiveness",,26.0,,,14.0,,,37.0,
Derivatives in Net Investment Hedging Relationship:,,,,,,,,,
Foreign exchange contracts,,,,,,,,,
Amount included in the assessment of effectiveness,,136.0,,,131.0,,,851.0,
Total,,,494.0,,,155.0,,,786.0
