0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Government bonds,,5516.0,,,9.0,,,3.0,,,0.0,,,5519.0,,,9.0
Corporate debt securities,1999.0,,,1.0,,,0.0,,,0.0,,,1999.0,,,1.0,
"Mortgage-backed and asset-
backed securities",929.0,,,5.0,,,242.0,,,2.0,,,1171.0,,,7.0,
Total,,8444.0,,,15.0,,,245.0,,,2.0,,,8689.0,,,17.0
