0
European Commission fines1  9106  9525
Accrued purchases of property and equipment 3019 4679
Accrued customer liabilities 3619 4140
Current operating lease liabilities 2477 2791
Income taxes payable net 1632 2748
Other accrued expenses and current liabilities 18013 22285
Accrued expenses and other current liabilities  37866  46168
