0,1,2
ended September 30 2021 and 2022 respectively.,,
,Expected amortization expense related to purchased intangible assets held as of September 30 2022 was as,
follows in millions:,,
Remainder of 2022,,134.0
2023,,458.0
2024,,439.0
2025,,309.0
2026,,232.0
Thereafter,,386.0
Total,,1958.0
