0,1,2,3,4,5,6
,Year Ended Dec,ember 31 2023,,,,
,Shares,Amount,,Shares,,Amount
Class A share repurchases 78  9316,,,,73,11855.0,
Class C share repurchases 450,,52868,,306,,50192
Total share repurchases1,528  62184,,,379,62047.0,
