0
European Commission fines1  9525  6322
Accrued purchases of property and equipment2 4679 7104
Accrued customer liabilities 4140 4304
Current operating lease liabilities 2791 2887
Income taxes payable net 2748 2905
Other accrued expenses and current liabilities 22285 27706
Accrued expenses and other current liabilities  46168  51228
