0,1,2,3,4,5,6
Patents and developed technology,,4972.0,,3570.0,,1402.0
Customer relationships,254.0,,30.0,,224.0,
Trade names and other,703.0,,350.0,,353.0,
Total,,5929.0,,3950.0,,1979.0
