0
Derivatives in cash flow hedging relationship:
Foreign exchange contracts
Amount included in the assessment of effectiveness  1699  90  857
"Amount excluded from the assessment of
effectiveness 188 84 77"
Derivatives in net investment hedging relationship:
Foreign exchange contracts
Amount included in the assessment of effectiveness 608 287 223
Total  2119  113  1157
