0,1,2,3,4,5,6,7
,Total outstanding debt is summarized below in millions except percentages:,,,,,,
,,,Effective Interest,,As of,,As of
,Maturity,Coupon Rate,Rate,,December 31 2023,,September 30 2024
Debt,,,,,,,
2016-2020 Notes,2025 - 2060,0.45 - 2.25,0.57 - 2.33,,13000,,12000
issuances,,,,,,,
Future finance lease,,,,,,,
payments net and other,,,,,,,
debt 1,,,,,1746,,2785
Total debt,,,,,14746,,14785
Unamortized discount and,,,,,,,
debt issuance costs,,,,,130,,121
Less: Current portion of,,,,,,,
long-term notes2,,,,,1000,,999
Less: Current portion of,,,,,,,
future finance lease,,,,,,,
payments net and other,,,,,,,
current debt12,,,,,363,,1368
Total long-term debt,,,,,13253,,12297
1,,,,,,,
