0,1,2,3,4
addresses of our customers:,,,,
,Three Months Ended,,Nine Months Ended,
,September 30,,September 30,
,2021,2022.0,2021,2022.0
United States,46 ,48.0,46 ,47.0
EMEA,30 ,28.0,31 ,29.0
APAC,18 ,17.0,18 ,17.0
Other Americas,6 ,6.0,5 ,6.0
Hedging gains losses,0 ,1.0,0 ,1.0
